property_type,state,region,lat,lon,area_m2,price_usd
apartment,Pernambuco,Northeast,-8.134204,-34.906326,72,82844.596
apartment,Pernambuco,Northeast,-8.1266642,-34.903924,136,169681.706
apartment,Pernambuco,Northeast,-8.1255503,-34.907601,75,59887.65600000001
apartment,Pernambuco,Northeast,-8.1202489,-34.89592,187,169681.706
apartment,Pernambuco,Northeast,-8.142666,-34.906906,80,92825.872
apartment,Pernambuco,Northeast,-8.1376709,-34.913349,94,58889.532
apartment,Pernambuco,Northeast,-8.1415992,-34.909179,80,62882.038
apartment,Pernambuco,Northeast,-8.1273367,-34.902712,54,83842.72
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63,89831.49
apartment,Pernambuco,Northeast,-8.1267642,-34.903425,105,109794.042
apartment,Pernambuco,Northeast,-8.1109179,-34.898785,88,73861.444
apartment,Pernambuco,Northeast,-8.140095,-34.90444,167,199625.534
apartment,Pernambuco,Northeast,-8.1272168,-34.89868,170,169681.706
apartment,Pernambuco,Northeast,-8.1411081,-34.90887,64,67872.678
apartment,Pernambuco,Northeast,-8.1205721,-34.900301,81,73861.444
apartment,Pernambuco,Northeast,-8.1255503,-34.907601,72,71865.19
apartment,Pernambuco,Northeast,-8.1311923,-34.905777,83,77853.95400000001
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,63,65876.426
apartment,Pernambuco,Northeast,-8.1092891,-34.907094,73,79850.214
apartment,Pernambuco,Northeast,-8.1381022,-34.904297,88,95820.25400000002
apartment,Pernambuco,Northeast,-8.1135593,-34.899778,109,57891.402
apartment,Pernambuco,Northeast,-8.1201808,-34.901596,80,75857.702
apartment,Pernambuco,Northeast,-8.1421058,-34.906731,104,113786.554
apartment,Pernambuco,Northeast,-8.1260517,-34.902553,73,69868.932
apartment,Pernambuco,Northeast,-8.1384551,-34.909165,69,78852.084
apartment,Pernambuco,Northeast,-8.1211048,-34.907255,90,75857.702
apartment,Pernambuco,Northeast,-8.1100714,-34.893698,183,304428.942
apartment,Pernambuco,Northeast,-8.126948,-34.905159,98,119775.318
apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,181659.23400000003
apartment,Pernambuco,Northeast,-8.109441,-34.898106,128,191640.51
apartment,Pernambuco,Northeast,-8.109441,-34.898106,130,155707.918
apartment,Pernambuco,Northeast,-8.109441,-34.898106,100,143730.382
apartment,Pernambuco,Northeast,-8.109441,-34.898106,128,187648.00400000002
apartment,Pernambuco,Northeast,-8.046015,-34.910507,55,73861.444
apartment,Pernambuco,Northeast,-8.0415623,-34.9416901,60,61883.914000000004
apartment,Pernambuco,Northeast,-8.040035,-34.899654,182,299438.3
apartment,Pernambuco,Northeast,-8.046015,-34.910507,55,77853.95400000001
apartment,Pernambuco,Northeast,-8.056418,-34.909309,133,174672.34
apartment,Pernambuco,Northeast,-8.033291,-34.898014,113,183655.492
apartment,Pernambuco,Northeast,-8.048381,-34.908379,123,159700.43000000002
apartment,Pernambuco,Northeast,-8.02765,-34.920338,105,165689.19400000002
apartment,Pernambuco,Northeast,-8.0332786,-34.9069915,180,159700.43000000002
apartment,Pernambuco,Northeast,-8.094985,-34.892761,160,299438.3
apartment,Pernambuco,Northeast,-8.0330615,-34.8950223,160,249531.92000000004
apartment,Pernambuco,Northeast,-8.03145,-34.917198,55,47910.126000000004
apartment,Pernambuco,Northeast,-8.126271,-34.903793,240,199625.534
apartment,Pernambuco,Northeast,-8.0288008,-34.9190997,155,197629.28000000003
apartment,Pernambuco,Northeast,-8.027162,-34.913445,117,127760.342
apartment,Pernambuco,Northeast,-8.0124263,-34.9074499,238,209606.81000000003
apartment,Pernambuco,Northeast,-8.048381,-34.908379,167,119775.318
apartment,Pernambuco,Northeast,-8.085706,-34.890419,71,75857.702
apartment,Pernambuco,Northeast,-8.032375,-34.906925,61,89831.49
house,Pernambuco,Northeast,-8.027666,-34.881813,160,115782.80600000001
apartment,Pernambuco,Northeast,-8.040233,-34.898281,82,105801.53000000001
apartment,Pernambuco,Northeast,-8.0295901,-34.909819,210,161696.68200000003
apartment,Pernambuco,Northeast,-8.048997,-34.91011,175,159700.43000000002
apartment,Pernambuco,Northeast,-8.027162,-34.913445,62,71865.19
apartment,Pernambuco,Northeast,-8.027162,-34.913445,62,73861.444
apartment,Pernambuco,Northeast,-8.021971,-34.931366,150,199625.534
apartment,Pernambuco,Northeast,-8.0294182,-34.9243177,240,319400.86000000004
apartment,Pernambuco,Northeast,-8.021971,-34.931366,204,219588.086
apartment,Pernambuco,Northeast,-8.149876,-34.910686,78,59887.65600000001
apartment,Pernambuco,Northeast,-8.035618,-34.89333,149,219388.46000000002
apartment,Pernambuco,Northeast,-8.037489,-34.89537,80,87835.232
apartment,Pernambuco,Northeast,-8.027162,-34.913445,79,94822.12400000001
house,Pernambuco,Northeast,-8.0356845,-34.9234524,238,289457.02400000003
apartment,Pernambuco,Northeast,-8.116955,-34.896206,128,148721.024
apartment,Pernambuco,Northeast,-8.117513,-34.899639,129,151715.40600000002
apartment,Pernambuco,Northeast,-8.117513,-34.899639,129,209606.81000000003
apartment,Pernambuco,Northeast,-8.034344,-34.896725,67,87835.232
apartment,Pernambuco,Northeast,-8.035971,-34.895073,135,169681.706
